Epoch,Train Loss,Train Accuracy,Eval Loss,Eval Accuracy
1,0.352789371,0.61621266,0.306188236,0.565968605
2,0.342705229,0.671007806,0.293645698,0.623740516
3,0.33169225,0.735287147,0.286178343,0.659609295
4,0.320887367,0.800263,0.278227403,0.695412166
5,0.310018239,0.860670711,0.268848481,0.718292261
6,0.299598264,0.905884866,0.261937228,0.747729794
7,0.290803504,0.932690731,0.254129807,0.775044608
8,0.283685808,0.946186756,0.251250782,0.778143486
9,0.277901918,0.953251075,0.246343239,0.783049206
10,0.272360737,0.959006076,0.24227291,0.786490082
11,0.26741,0.96301825,0.239057525,0.787907504
12,0.263130579,0.96483755,0.236232064,0.788470534
13,0.259224818,0.966356819,0.233132313,0.79078133
14,0.255930168,0.966872658,0.231110665,0.790530157
15,0.252590254,0.967847842,0.229623211,0.790448978
16,0.249645041,0.96866285,0.226594497,0.791572627
17,0.246882273,0.969286851,0.225312945,0.791985356
18,0.244328798,0.969577753,0.223234878,0.793530173
19,0.241592755,0.970212777,0.221528567,0.793299495
20,0.239305054,0.97037726,0.220247157,0.7937287
21,0.236825588,0.970751695,0.219212107,0.794014034
22,0.234627006,0.97095648,0.216825978,0.794193271
23,0.232417682,0.97125496,0.216843444,0.793752009
24,0.230555343,0.971283034,0.214900502,0.794469763
25,0.228520621,0.971611139,0.212999138,0.794640561
26,0.226741228,0.971763737,0.211505225,0.794889725
27,0.224872391,0.972042927,0.210827781,0.794673113
28,0.223124691,0.972459904,0.209852823,0.795310892
29,0.221403301,0.972936818,0.208152646,0.796014982
30,0.219568149,0.973900635,0.207206437,0.797413918
31,0.217809449,0.975521006,0.205690031,0.797956051
32,0.216210062,0.975877012,0.205039997,0.798554044
33,0.214748379,0.975922137,0.202754467,0.800559012
34,0.213344329,0.976031677,0.202764975,0.801403356
35,0.212028767,0.976069741,0.201208252,0.801953125
36,0.210762799,0.976133639,0.200366811,0.802272618
37,0.209449233,0.976237496,0.198823441,0.802865789
38,0.208294429,0.976338425,0.199160374,0.803999887
39,0.20710256,0.976390611,0.197603162,0.804550058
40,0.205954957,0.976489818,0.197429164,0.806191326
41,0.204825405,0.976532015,0.196077193,0.806057501
42,0.203727817,0.976621576,0.194704397,0.806546988
43,0.2027212,0.976705281,0.195157328,0.807681488
44,0.20166881,0.976715788,0.19408288,0.808224425
45,0.200735609,0.976769008,0.192974314,0.80821277
46,0.199765626,0.976822917,0.191942907,0.808230051
47,0.198865712,0.976862014,0.191196415,0.808684574
48,0.197955695,0.976899388,0.190739149,0.809171248
49,0.197059774,0.976958981,0.190126461,0.809884983
50,0.19623586,0.977032008,0.18936407,0.810729729
51,0.195436639,0.977101762,0.188281329,0.810187596
52,0.194652765,0.977113646,0.187890461,0.810973267
53,0.193876159,0.977226804,0.187580365,0.811137233
54,0.19309658,0.977281057,0.186587373,0.812358941
55,0.192385275,0.977369757,0.186233074,0.813108041
56,0.191690335,0.977415227,0.185580306,0.814134838
57,0.19100984,0.977497554,0.1847067,0.813854327
58,0.190357491,0.977542852,0.18421309,0.81442861
59,0.18971456,0.97762294,0.183864414,0.815653935
60,0.189095222,0.977784839,0.18303245,0.815682067
61,0.188523149,0.977840815,0.182603664,0.81716178
62,0.187945309,0.977939849,0.181413799,0.817164995
63,0.187408173,0.97806713,0.181506378,0.819132587
64,0.186860303,0.978135851,0.180947258,0.819398229
65,0.186345411,0.978279665,0.180679491,0.820799576
66,0.185824283,0.978369916,0.179906231,0.820342239
67,0.185347033,0.978515281,0.179417157,0.822392216
68,0.184893208,0.978601742,0.179026724,0.823722431
69,0.184440113,0.97868338,0.178751984,0.823957128
70,0.184004652,0.978797226,0.178152852,0.824104617
71,0.183565917,0.978934841,0.177340908,0.824692966
72,0.183146952,0.979051615,0.177170827,0.825521637
73,0.18276282,0.979114136,0.177014851,0.827743216
74,0.182370753,0.979171489,0.17645419,0.829071422
75,0.181997552,0.979335283,0.176312931,0.829594666
76,0.181629176,0.979404693,0.175874391,0.829802437
77,0.181291028,0.979462047,0.175045846,0.830113892
78,0.180955356,0.979574171,0.175226651,0.832237413
79,0.180641422,0.97962274,0.174691753,0.832274788
80,0.180325859,0.979722463,0.174369969,0.833296361
81,0.180013228,0.979800829,0.174134311,0.835048145
82,0.179729189,0.979865072,0.173963106,0.834053498
83,0.179440094,0.979940855,0.173403777,0.835603138
84,0.179165939,0.980010437,0.173159636,0.834961339
85,0.178909968,0.980051946,0.172729902,0.835670653
86,0.178653588,0.980098276,0.172447939,0.836860613
87,0.178405208,0.980211778,0.172359746,0.837719425
88,0.178158061,0.980286872,0.172142913,0.837852849
89,0.177938372,0.980327347,0.171786968,0.836883922
90,0.17772367,0.980320285,0.172062121,0.839902826
91,0.177493423,0.980455833,0.171257891,0.839283131
92,0.177286685,0.980550733,0.170859904,0.839290365
93,0.17709106,0.980576396,0.17072082,0.840878183
94,0.176906143,0.980632199,0.170635563,0.84015199
95,0.176727025,0.980705398,0.170281186,0.839679784
96,0.17654163,0.980789104,0.17046074,0.840107382
97,0.176371239,0.980820106,0.169867255,0.840776106
98,0.176207541,0.98083354,0.169856458,0.842899627
99,0.176045179,0.980932574,0.169546045,0.841399016
100,0.175879675,0.981066916,0.1696188,0.842063722
